Ab6 22295
Gb3 55808
Eb4 6144
G6 19223
P 2147483648
G1 38656
Bb2 47104
E2 43008
C0 34560
F0 35328
D6 6167
A6 25623
D1 37120
Inst2 48
Gb6 16407
A3 60160
A2 46336
Bb3 61952
Inst4 96
Db6 4119
Inst1 24
Inst0 0
Gb4 13568
C4 0
Ab3 58624
Inst3 72
Bb5 63767
Bb4 25600
C3 49152
B2 48128
D4 4096
Db2 41216
F1 38144
B3 63744
D2 41728
G2 44800
A5 61975
C6 2071
D3 50944
G5 58647
Bb1 39936
Eb2 42240
F4 11008
Bb6 29207
B1 40192
C1 36608
G0 35584
Eb5 53271
G3 57344
G4 16384
Eb1 37376
Ab0 35840
Gb0 35328
E4 8704
Db4 2048
Gb1 38400
F3 54528
C5 49943
Eb6 8727
A4 22272
Db5 50967
Db1 36864
Eb3 52224
E0 35072
Gb2 44288
E6 11031
E1 37632
B6 32535
E3 53248
D0 34816
Eb0 35072
Ab1 39168
h 3221225472
A0 36096
C2 40704
F2 43520
Ab5 60183
Db0 34816
F5 55831
B5 23
B4 29184
D5 52247
Bb0 36096
A1 39424
F6 13591
Ab4 19200
Ab2 45568
B0 36352
Gb5 57367
Db3 49920
E5 54551
R 255
